RankQS,Name,location,size,focus,research,age band,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ifr score,ifr rank,isr score,isr rank,irn score,irn rank,ger score,ger rank,score scaled
1,Massachusetts Institute of Technology (MIT) ,US,M,CO,VH,5,B,100,5,100,4,100,14,100,5,100,54,90,109,96.1,58,100,3,100
2,University of Cambridge,UK,L,FC,VH,5,A,100,2,100,2,100,11,92.3,55,100,60,96.3,70,99.5,6,100,9,98.8
3,Stanford University,US,L,FC,VH,5,B,100,4,100,5,100,6,99.9,9,99.8,74,60.3,235,96.3,55,100,2,98.5
4,University of Oxford,UK,L,FC,VH,5,A,100,3,100,3,100,8,90,64,98.8,101,98.4,54,99.9,3,100,7,98.4
5,Harvard University,US,L,FC,VH,5,B,100,1,100,1,99.4,35,100,2,76.9,228,66.9,212,100,1,100,1,97.6
6=,California Institute of Technology (Caltech),US,S,CO,VH,5,B,96.5,28,87.1,58,100,3,100,4,99.8,75,85.1,134,73,425,98.8,24,97
6=,Imperial College London,UK,L,FC,VH,5,A,98.3,24,99.7,10,99.5,34,86.5,84,100,55,100,13,98.1,20,88.8,76,97
8,UCL,UK,XL,FC,VH,5,A,99.4,14,98.6,16,97.6,51,77,119,99.2,87,100,14,100,2,90.3,71,95
9,ETH Zurich - Swiss Federal Institute of Technology,CH,L,CO,VH,5,A,98.6,18,91.3,51,74.2,164,99.2,18,100,24,98,59,96.2,56,91.1,64,93.6
10,University of Chicago,US,L,FC,VH,5,B,99.2,16,92.2,46,92.9,71,86.8,79,81.6,214,76,176,89.6,170,98.2,30,93.2
11,National University of Singapore (NUS),SG,XL,FC,VH,3,A,99.5,13,94.1,36,79.8,136,91.8,58,100,33,73.5,187,89.9,165,99.6,16,92.7
12,Peking University,CN,XL,FC,VH,5,A,99.3,15,96.5,28,87.3,98,96.7,34,57.1,323,36.9,376,77.5,354,91.4,59,91.3
13,University of Pennsylvania,US,L,FC,VH,5,B,96.5,29,92.5,45,99.9,23,70.9,142,96.2,128,66.1,215,93.3,104,100,5,90.6
14,Tsinghua University,CN,XL,FC,VH,4,A,98.9,17,97.7,23,92.8,72,98.1,24,16.7,601+,25.7,462,75.5,381,87.1,80,90.1
15,The University of Edinburgh,UK,XL,FC,VH,5,A,98,26,97.2,24,81.1,129,70.1,149,98.9,98,99.5,38,98.7,15,54.3,219,89.5
16=,EPFL,CH,M,FO,VH,5,A,83.7,59,71.8,93,91.1,82,99.4,15,100,17,100,11,87.3,207,28,451,89.2
16=,Princeton University,US,M,CO,VH,5,B,99.9,10,98.9,14,72.6,172,100,3,26,515,62.2,226,78.5,340,100,8,89.2
18,Yale University,US,M,FC,VH,5,B,99.9,9,100,7,100,2,51.5,249,89.2,179,77.3,165,92,123,100,4,89
19,"Nanyang Technological University, Singapore (NTU)",SG,L,FC,VH,3,A,90.4,42,76.1,81,83.2,120,94.1,49,100,30,74.1,186,89.6,169,84.6,86,88.4
20,Cornell University,US,L,FC,VH,5,B,98.3,23,91.4,50,62.2,245,99.3,17,63.9,290,55.3,256,90,161,99.5,19,87.2
21,The University of Hong Kong,HK,L,FC,VH,5,A,97.4,27,62.9,119,84.2,113,72.6,131,100,27,98.7,50,81.1,303,99,23,87
22,Columbia University,US,L,FC,VH,5,B,99.7,11,98.1,20,100,12,47.2,282,47.6,369,94.6,85,98.9,14,99.8,11,86.7
23,The University of Tokyo,JP,L,FC,VH,5,A,100,7,99.7,9,91.9,78,73.3,128,10.4,601+,27.8,448,89.5,174,97.8,33,85.3
24,Johns Hopkins University,US,L,FC,VH,5,B,87.9,49,47.2,198,100,5,87.3,76,63.6,294,82.9,145,97.7,27,95.3,42,85.1
25,University of Michigan-Ann Arbor,US,XL,FC,VH,5,A,98.5,22,91.3,52,88.9,92,62.5,190,71.2,253,33.1,404,96.3,52,96,40,84.4
26,Université PSL,FR,L,CO,VH,1,A,74.4,78,97,25,99.8,24,84.1,96,59.7,308,83.6,142,99.7,4,53.9,227,83.8
27,"University of California, Berkeley (UCB)",US,XL,FC,VH,5,A,100,6,100,6,23.9,599,99.9,10,93.3,155,57.7,248,96.7,45,99.1,21,82.7
28,The University of Manchester,UK,XL,FC,VH,5,A,95.1,33,97.7,22,63.1,234,59,207,93.4,152,99.4,41,98.9,13,66.4,158,82.3
29,Seoul National University,KR,L,FC,VH,4,A,98.6,19,97.8,21,87,100,70.3,147,12.2,601+,10.3,601+,79.3,329,97.7,34,82.2
30,The Australian National University,AU,L,FC,VH,4,A,93.6,35,70.1,95,38,404,99.3,16,100,37,96,71,94.6,86,59.1,192,82.1
31,McGill University,CA,XL,FC,VH,5,A,93.3,36,93.6,39,68.9,193,59.6,203,87.6,188,95.1,77,95.2,69,90,72,81.9
32,Northwestern University,US,L,FC,VH,5,B,84.4,56,71.9,92,98.3,45,84.2,95,40.5,401,38.8,351,89,183,98.4,29,81.8
33,The University of Melbourne,AU,XL,FC,VH,5,A,98.6,20,94.9,34,17.9,601+,95,45,93.1,157,99.8,30,97.6,30,91.1,63,81.6
