RankShangHai,Name,Region,Regional rank,Total score,Alumni,Award,Hici,N&S,PUB,PCP
1,Harvard University,us,1,100.0,100.0,92.6,100.0,100.0,100.0,86.7
2,Stanford University,us,2,74.8,45.6,88.1,73.6,82.8,67.5,58.0
3,Massachusetts Institute of Technology (MIT),us,3,69.1,72.5,81.1,54.7,71.8,55.0,73.8
4,University of Cambridge,gb,1,67.9,78.9,90.8,45.1,61.0,63.6,60.4
5,"University of California, Berkeley",us,4,63.4,65.8,76.5,52.6,64.3,53.1,57.3
6,Princeton University,us,5,60.1,61.7,100.0,32.9,50.4,39.4,76.7
7,University of Oxford,gb,2,59.5,49.9,59.7,51.4,57.6,71.4,48.5
8,Columbia University,us,6,55.3,58.5,60.9,47.0,52.3,63.1,32.1
9,California Institute of Technology,us,7,54.5,56.1,63.4,28.7,57.3,37.6,100.0
10,University of Chicago,us,8,53.8,56.6,84.5,35.4,42.5,48.6,44.6
11,Yale University,us,9,52.2,50.7,49.6,46.1,53.9,59.2,38.8
12,Cornell University,us,10,50.5,40.9,44.2,44.1,55.0,59.0,45.4
13,"University of California, Los Angeles",us,11,48.0,30.1,45.0,44.1,51.7,62.7,29.6
14,University of Pennsylvania,us,12,47.7,32.3,30.6,52.2,44.7,67.0,42.2
15,Paris-Saclay University,fr,1,47.0,34.1,70.9,32.9,31.4,60.2,32.4
16,Johns Hopkins University,us,13,46.8,37.0,34.6,49.7,39.7,70.1,29.9
17,University College London,gb,3,45.9,27.2,31.5,46.5,41.1,74.0,33.3
18,University of Washington,us,14,45.4,22.8,34.9,43.6,52.3,65.6,25.8
19,"University of California, San Diego",us,15,44.8,18.1,32.4,53.9,49.3,56.6,32.6
20,ETH Zurich,ch,1,44.1,26.7,42.2,30.2,54.0,50.1,49.2
21,"University of California, San Francisco",us,16,44.0,0.0,41.9,45.1,54.9,56.4,31.2
22,Tsinghua University,cn,1,40.3,9.1,0.0,55.4,44.1,77.6,28.5
23,Imperial College London,gb,4,39.9,12.8,31.3,38.4,38.3,60.0,39.4
24,University of Toronto,ca,1,39.7,16.6,13.0,40.0,37.1,77.7,33.4
25,Washington University in St. Louis,us,17,39.0,20.9,27.4,46.1,37.9,49.0,37.1
26,University of Michigan-Ann Arbor,us,18,37.8,37.4,9.8,36.0,38.5,69.1,23.3
27,The University of Tokyo,jp,1,37.7,36.6,23.5,19.7,46.1,63.5,23.6
28,New York University,us,19,37.3,26.7,35.1,32.2,37.7,52.5,21.3
29,Peking University,cn,2,36.7,10.5,0.0,36.0,41.1,81.3,29.6
30,Northwestern University,us,20,35.8,12.8,25.8,37.2,37.0,53.6,28.2
31,University of North Carolina at Chapel Hill,us,21,35.7,33.6,21.9,41.6,34.1,55.3,33.6
32,University of Copenhagen,dk,1,35.2,34.0,20.6,28.7,35.9,59.3,34.0
33,Zhejiang University,cn,3,35.0,24.3,0.0,34.8,33.8,89.4,24.3
34,Duke University,us,22,34.6,22.1,17.8,36.0,38.0,55.4,22.1
35,The University of Melbourne,au,1,34.5,32.0,11.3,40.6,24.4,67.9,32.0
35,University of Wisconsin - Madison,us,23,34.5,22.1,31.3,26.3,30.0,54.9,22.1
37,Karolinska Institute,se,1,34.0,53.5,23.8,26.3,24.6,52.5,53.5
38,The University of Edinburgh,gb,5,33.9,26.7,22.6,36.0,29.1,50.8,26.7
39,Kyoto University,jp,2,33.3,21.5,38.8,18.6,26.0,50.7,21.5
39,Rockefeller University,us,24,33.3,33.2,57.6,23.7,41.9,14.0,33.2
41,PSL University,fr,2,33.0,23.9,45.1,9.3,20.9,48.0,23.9
41,The University of Manchester,gb,6,33.0,28.3,29.1,28.7,28.9,52.3,28.3
43,The University of Texas at Austin,us,25,32.8,27.7,21.6,34.8,27.1,50.4,27.7
44,University of British Columbia,ca,2,32.7,23.8,17.2,32.9,28.9,61.0,23.8
44,"University of Minnesota, Twin Cities",us,26,32.7,22.3,15.0,36.6,26.4,56.6,22.3
46,Shanghai Jiao Tong University,cn,4,32.6,26.4,0.0,30.2,27.1,87.8,26.4
46,Sorbonne University,fr,3,32.6,26.1,23.3,18.6,29.2,56.2,26.1
48,The University of Texas Southwestern Medical Center at Dallas,us,27,32.4,26.6,31.4,31.6,36.6,35.8,26.6
49,University of Geneva,ch,2,31.8,37.9,37.3,13.2,26.5,40.0,37.9
50,"University of Maryland, College Park",us,28,31.7,31.3,18.4,31.6,34.3,45.4,31.3
51,The University of Queensland,au,2,31.5,36.1,0.0,44.6,24.9,59.9,36.1
52,University of Illinois at Urbana-Champaign,us,29,31.4,25.2,33.0,17.4,29.6,47.2,25.2
52,Utrecht University,nl,1,31.4,27.6,17.2,34.8,22.6,53.7,27.6
54,Swiss Federal Institute of Technology Lausanne,ch,3,31.3,49.7,29.1,25.5,36.4,36.2,49.7
55,Heidelberg University,de,1,31.2,29.6,21.1,24.6,33.2,49.0,29.6
56,Fudan University,cn,5,31.1,26.1,0.0,34.2,31.0,73.1,26.1
57,University of Colorado at Boulder,us,30,31.0,31.7,31.4,24.6,32.1,40.9,31.7
58,University of Southern California,us,31,30.8,25.1,29.1,32.9,25.3,50.0,25.1
59,King's College London,gb,7,30.7,27.9,16.8,34.8,18.8,53.0,27.9
59,Technical University of Munich,de,2,30.7,29.4,17.2,21.8,27.9,50.2,29.4
59,University of Munich,de,2,30.7,29.6,15.0,24.6,31.5,51.0,29.6
59,University of Zurich,ch,4,30.7,36.6,20.6,26.3,32.9,51.1,36.6
63,"University of California, Santa Barbara",us,32,30.2,35.4,36.0,20.8,34.4,30.9,35.4
64,University of Science and Technology of China,cn,6,30.1,29.1,0.0,33.5,32.1,66.2,29.1
65,"University of California, Irvine",us,33,29.8,25.4,26.9,28.7,25.9,43.1,25.4
66,Vanderbilt University,us,34,29.4,33.1,26.1,27.9,18.6,46.8,33.1
67,University of Bonn,de,4,29.3,26.9,33.0,21.8,20.9,38.1,26.9
68,Weizmann Institute of Science,il,1,29.2,45.3,15.0,34.2,39.2,22.7,45.3
69,Université Paris Cité,fr,4,29.1,23.5,10.1,30.2,27.1,55.4,23.5
70,McGill University,ca,3,28.9,26.7,0.0,28.7,29.1,54.4,26.7
71,National University of Singapore,sg,1,28.8,32.8,0.0,39.5,23.4,60.8,32.8
72,The University of New South Wales,au,3,28.6,32.1,0.0,37.8,24.7,60.6,32.1
73,Sun Yat-sen University,cn,7,28.3,24.1,0.0,29.4,17.6,78.3,24.1
73,University of Oslo,no,1,28.3,28.1,29.1,17.4,15.9,48.8,28.1
73,University of Sydney,au,4,28.3,29.6,0.0,32.9,19.1,64.1,29.6
76,University of Groningen,nl,2,28.1,27.6,22.6,22.8,19.7,51.1,27.6
77,Monash University,au,5,28.0,32.1,0.0,30.2,26.4,63.6,32.1
