,RankTHE,Name,No. of FTE students,No. of students per staff,International Students,Female:Male Ratio,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
0,1,University of Oxford,"20,965",10.6,42%,48 : 52,96.4,92.3,99.7,99.0,74.9,96.2
1,2,Harvard University,"21,887",9.6,25%,50 : 50,95.2,94.8,99.0,99.3,49.5,80.5
2,=3,University of Cambridge,"20,185",11.3,39%,47 : 53,94.8,90.9,99.5,97.0,54.2,95.8
3,=3,Stanford University,"16,164",7.1,24%,46 : 54,94.8,94.2,96.7,99.8,65.0,79.8
4,5,Massachusetts Institute of Technology,"11,415",8.2,33%,40 : 60,94.2,90.7,93.6,99.8,90.9,89.3
5,6,California Institute of Technology,"2,237",6.2,34%,37 : 63,94.1,90.9,97.0,97.3,89.8,83.6
6,7,Princeton University,"8,279",8.0,23%,46 : 54,92.4,87.6,95.9,99.1,66.0,80.3
7,8,"University of California, Berkeley","40,921",18.4,24%,52 : 48,92.1,86.4,95.8,99.0,76.8,78.4
8,9,Yale University,"13,482",5.9,21%,52 : 48,91.4,92.6,92.7,97.0,55.0,70.9
9,10,Imperial College London,"18,545",11.2,61%,40 : 60,90.4,82.8,90.8,98.3,59.8,97.5
10,=11,Columbia University,"21,781",4.5,38%,,89.4,89.4,87.7,97.1,44.8,79.9
11,=11,ETH Zurich,"21,665",14.8,41%,33 : 67,89.4,82.6,95.4,90.7,59.1,97.7
12,13,The University of Chicago,"15,366",6.0,36%,47 : 53,88.9,86.5,88.8,97.7,56.2,74.2
13,14,University of Pennsylvania,"21,453",6.3,23%,53 : 47,88.8,86.0,88.8,97.0,75.8,71.5
14,15,Johns Hopkins University,"17,584",4.7,29%,53 : 47,88.3,79.4,91.5,97.0,89.5,75.3
15,16,Tsinghua University,"38,324",11.6,10%,,88.2,90.1,97.4,88.0,100.0,40.3
16,17,Peking University,"31,994",10.3,19%,,88.1,92.5,96.7,80.4,91.8,65.0
17,18,University of Toronto,"77,468",25.8,26%,56 : 44,87.4,77.3,93.3,92.8,65.5,89.7
18,19,National University of Singapore,"32,337",19.8,25%,51 : 49,87.1,76.4,93.0,90.2,87.0,94.0
19,20,Cornell University,"24,027",10.3,26%,51 : 49,85.9,80.2,86.1,97.3,40.4,76.9
20,21,"University of California, Los Angeles","42,434",9.7,16%,56 : 44,85.8,80.4,88.9,95.4,58.8,65.0
21,22,UCL,"36,790",10.3,60%,59 : 41,85.7,74.5,85.4,97.9,44.5,96.7
22,23,University of Michigan-Ann Arbor,"45,912",8.2,17%,50 : 50,82.9,79.3,84.6,93.6,48.7,59.2
23,24,New York University,"36,337",9.8,42%,57 : 43,82.7,74.2,84.0,95.0,44.6,74.7
24,25,Duke University,"16,091",4.2,24%,52 : 48,82.6,78.1,76.2,95.7,99.6,68.0
25,=26,Northwestern University,"19,175",13.2,20%,51 : 49,82.1,71.7,80.7,97.5,85.0,67.0
26,=26,University of Washington,"47,727",10.8,18%,55 : 45,82.1,71.6,82.8,98.9,53.9,63.0
27,28,Carnegie Mellon University,"14,305",12.9,47%,44 : 56,81.1,65.4,81.8,98.7,55.2,80.1
28,29,University of Edinburgh,"32,845",11.8,47%,62 : 38,79.8,66.9,74.5,97.1,40.9,95.6
29,30,Technical University of Munich,"33,960",40.6,36%,37 : 63,79.3,69.8,82.2,84.5,100.0,77.7
30,31,University of Hong Kong,"18,087",18.2,43%,54 : 46,78.5,65.6,74.1,92.4,60.6,98.7
31,32,"University of California, San Diego","37,030",11.3,28%,48 : 52,78.1,60.2,77.2,98.2,93.0,67.8
32,33,LMU Munich,"35,003",34.2,19%,61 : 39,77.7,67.3,78.3,87.4,100.0,70.5
33,34,University of Melbourne,"49,588",23.8,47%,58 : 42,77.6,67.1,75.9,85.8,78.1,93.6
34,35,King’s College London,"28,965",11.8,52%,63 : 37,77.1,58.0,72.9,98.2,45.6,96.1
35,36,"Nanyang Technological University, Singapore","24,651",15.1,25%,48 : 52,77.0,60.9,77.9,87.2,84.5,94.5
36,37,London School of Economics and Political Science,"11,120",11.9,73%,55 : 45,76.5,59.2,74.3,95.1,37.8,92.8
37,38,Georgia Institute of Technology,"28,826",24.7,40%,33 : 67,76.0,60.2,75.9,91.4,64.9,81.2
38,39,The University of Tokyo,"26,112",10.5,15%,,75.9,88.1,91.4,55.5,86.7,43.3
39,40,University of British Columbia,"56,452",18.9,34%,55 : 45,75.7,62.9,73.1,88.8,47.9,94.8
40,41,École Polytechnique Fédérale de Lausanne,"11,641",12.3,62%,30 : 70,75.4,65.6,70.7,84.5,71.7,98.0
41,42,KU Leuven,"47,663",36.5,18%,51 : 49,74.6,59.7,74.9,86.7,99.2,76.8
42,43,Universität Heidelberg,"19,347",13.5,21%,55 : 45,74.1,67.2,61.5,96.0,55.7,71.2
43,44,Monash University,"58,725",42.5,41%,57 : 43,73.6,56.9,68.7,90.4,78.4,91.0
44,45,Chinese University of Hong Kong,"18,468",19.0,21%,,73.2,59.1,61.1,95.7,60.9,92.5
45,46,McGill University,"32,309",12.5,30%,60 : 40,73.0,62.0,72.4,82.5,43.5,91.0
46,47,Paris Sciences et Lettres – PSL Research University Paris,"16,218",15.0,22%,51 : 49,72.9,68.2,73.5,75.5,78.8,76.3
47,48,University of Illinois at Urbana-Champaign,"48,674",17.4,22%,48 : 52,72.7,67.1,78.9,78.1,50.1,56.2
48,49,Karolinska Institute,"8,021",9.9,27%,70 : 30,72.4,51.1,68.8,94.0,66.4,87.3
49,50,University of Texas at Austin,"49,171",17.4,10%,53 : 47,72.3,66.2,73.1,87.5,51.3,40.1
50,51,Fudan University,"36,318",11.9,9%,52 : 48,72.0,71.8,75.8,74.5,77.3,45.2
51,52,Shanghai Jiao Tong University,"37,478",11.5,8%,42 : 58,71.2,75.3,82.9,59.9,100.0,43.7
52,53,The University of Queensland,"41,372",34.2,41%,55 : 45,71.1,55.9,66.5,84.3,82.0,93.2
53,=54,University of Manchester,"37,035",14.2,44%,55 : 45,70.9,54.5,63.7,91.3,45.3,92.7
54,=54,The University of Sydney,"45,853",19.0,45%,58 : 42,70.9,53.1,65.8,88.5,73.2,90.6
55,56,Seoul National University,"26,209",15.1,10%,,70.8,75.2,76.2,67.6,96.6,35.9
56,57,Washington University in St Louis,"14,420",7.8,24%,53 : 47,70.6,60.3,56.8,98.2,47.5,64.0
57,58,The Hong Kong University of Science and Technology,"9,864",21.0,32%,,70.5,51.4,63.4,87.7,95.0,97.7
58,59,Wageningen University &amp; Research,"15,404",18.6,27%,55 : 45,70.3,50.4,60.2,93.2,100.0,88.8
59,60,University of Amsterdam,"29,157",14.5,32%,59 : 41,69.6,48.0,64.1,93.3,44.4,91.9
60,61,Brown University,"10,037",10.1,21%,,69.3,64.5,58.0,89.5,39.0,63.3
61,62,Australian National University,"16,758",14.6,51%,52 : 48,69.0,51.3,69.2,81.8,45.6,96.0
62,63,"University of California, Davis","37,639",13.1,18%,60 : 40,68.5,59.7,66.3,80.9,52.4,68.7
63,64,"University of California, Santa Barbara","25,860",28.5,20%,54 : 46,68.4,44.6,61.5,96.2,80.1,76.0
64,65,University of Southern California,"40,549",12.6,22%,49 : 51,68.3,58.9,58.6,90.4,43.8,63.7
65,66,Utrecht University,"32,532",17.1,13%,62 : 38,68.2,44.3,66.0,91.2,72.7,78.8
66,67,Zhejiang University,"46,124",12.0,16%,,68.1,67.3,74.8,62.8,100.0,55.1
67,68,Kyoto University,"22,269",9.2,12%,25 : 75,68.0,77.5,79.1,52.3,88.6,40.5
68,69,University of North Carolina at Chapel Hill,"31,080",7.9,8%,59 : 41,67.8,58.9,59.7,93.3,46.0,41.7
69,70,Delft University of Technology,"20,299",16.1,31%,31 : 69,67.7,58.8,76.4,59.1,93.4,94.2
70,=71,Boston University,"27,243",10.8,31%,59 : 41,67.5,55.9,56.1,92.9,41.1,65.9
71,=71,UNSW Sydney,"45,133",36.3,40%,47 : 53,67.5,51.1,59.0,85.9,63.5,95.1
72,73,Charité - Universitätsmedizin Berlin,"8,429",18.0,21%,64 : 36,67.2,48.5,52.2,98.8,87.1,69.3
73,74,University of Science and Technology of China,"18,573",8.1,6%,,67.1,65.0,64.9,78.8,69.4,36.9
74,75,University of Groningen,"30,009",24.4,28%,52 : 48,66.6,45.4,57.6,90.4,75.8,89.8
75,76,University of Bristol,"25,680",14.6,31%,56 : 44,66.5,43.8,53.4,98.6,43.5,89.4
76,77,Leiden University,"33,648",19.3,20%,60 : 40,66.4,43.2,64.4,86.6,68.4,85.4
77,78,Yonsei University (Seoul campus),"19,481",14.7,17%,50 : 50,66.3,67.0,68.9,63.9,94.8,52.8
78,79,Hong Kong Polytechnic University,"19,046",28.9,30%,51 : 49,65.8,46.6,57.0,86.7,56.0,97.6
79,80,Erasmus University Rotterdam,"31,668",33.9,22%,53 : 47,65.7,38.6,57.1,95.6,64.4,89.7
80,81,University of Wisconsin-Madison,"40,701",10.0,14%,,65.5,59.7,62.9,78.7,48.4,51.8
81,=82,Emory University,"13,190",4.2,20%,60 : 40,65.3,54.8,46.0,98.0,48.6,59.8
82,=82,University of Glasgow,"28,540",13.5,41%,59 : 41,65.3,43.3,50.8,96.5,41.9,93.8
83,=82,University of Zurich,"25,003",13.7,22%,56 : 44,65.3,51.5,50.7,87.5,57.6,93.0
84,85,McMaster University,"26,403",29.0,20%,56 : 44,65.1,42.7,51.1,94.6,89.9,84.7
85,=86,Humboldt University of Berlin,"34,399",53.2,17%,,64.9,55.2,64.3,75.6,42.8,70.5
86,=86,University of Tübingen,"20,620",27.5,13%,59 : 41,64.9,51.1,58.2,84.5,79.9,64.1
87,88,University of Adelaide,"23,102",32.8,32%,49 : 51,64.7,42.7,51.8,92.2,65.3,93.6
88,89,University of Bonn,"27,210",47.5,17%,56 : 44,64.6,51.6,56.1,86.0,55.0,68.7
89,90,Sorbonne University,"41,443",13.9,21%,59 : 41,64.5,58.7,58.3,76.6,40.0,72.3
90,=91,Free University of Berlin,"26,497",41.9,23%,62 : 38,64.2,54.2,62.4,74.8,41.7,76.4
91,=91,Korea Advanced Institute of Science and Technology (KAIST),"9,946",10.7,9%,21 : 79,64.2,64.5,66.0,65.7,100.0,38.2
92,93,Université Paris-Saclay,"44,443",14.9,19%,49 : 51,63.9,56.7,55.2,79.1,54.6,69.7
93,94,University of Bern,"11,728",17.2,17%,58 : 42,63.7,46.0,46.5,90.7,86.3,88.2
94,=95,"University of California, Irvine","36,655",16.9,28%,52 : 48,63.6,43.5,51.6,93.6,59.4,73.2
95,=95,Institut Polytechnique de Paris,"5,999",6.7,41%,24 : 76,63.6,58.5,58.8,64.8,72.7,95.6
96,=95,Nanjing University,"36,426",16.5,8%,54 : 46,63.6,58.4,58.2,74.3,87.3,55.2
97,98,Vanderbilt University,"12,696",3.8,15%,55 : 45,63.5,49.5,47.5,96.5,66.7,50.6
98,=99,City University of Hong Kong,"9,099",12.1,62%,54 : 46,63.4,47.2,53.0,79.9,76.6,99.6
